,level_0,index,FeatureName,title,Sentence,CS_SS,p/n,Ref
754,559,444,compression,olympus pen e-p1,"jpegs straight from the camera are gallery-worthy (depending on the photographer's skill, of course).",SS,P,
755,560,445,compression,olympus pen e-p1 ,i have also compared the pictures taken with e-p1 vs canon xsi and i am impressed by the jpeg quality from e-p1.,SS,P,
756,561,446,compression,olympus pen e-p2 ,my decission was driven by the amazing jpeg quality of the e-p2.,SS,P,
757,562,447,compression,olympus pen e-p2 ,"the camera is small and portable with a pancake lens.pros:small, thoughtful compact design.outstanding build quality with a solid feel.in body stablization that works very well.very good lcd screen and class leading evfexcellent comtrols with dual control wheels.terrific jpeg image quality.af tracking in still and movie modes.great video quality.very good color rendition.very high resolution.excellent high-iso performance.poster size prints that will amaze.cons:short battery life.no built-in flash.steep menu learning curve.accessory port limited to single accessory use, can't use evf with flash.evf, although great, is an expensive but necessary accessory.no built-in flash, optional flash is expensive.",SS,P,
758,563,448,compression,olympus pen e-p2 ,"the jpeg output is exceptional, and the is really saves a lot of shots.",SS,P,
759,564,449,compression,olympus pen e-p3 ,"you can even adjust the tone curve for the in-camera jpeg generation: you can tweak it so that dark areas of the picture are made a little lighter, or light colored areas a little darker.",SS,N,
760,565,450,compression,olympus pen e-p3 ,olympus is also famous for the superb out of camera jpeg images.,SS,P,
761,566,451,compression,olympus pen e-p3 ,"no its not full frame but if you want full frame - get full frame.- jpegs are really good, great color and white balance.- did i say that this was a fun camera to use?- good lens selection.",SS,P,
762,567,452,compression,olympus pen e-p3 ,the jpegs straight out of the camera are really impressive.,SS,P,
763,568,453,compression,olympus pen e-p3 ,"i was expecting to have to shoot raw files, but the out of camera jpegs are amazing.",SS,P,
764,569,454,compression,olympus pen e-p3 ,"plus is you want to fine tune the jpeg, the settings allow you to tweak them to suit your sensibility.",SS,P,
765,570,455,compression,olympus pen e-pl1,"this can be qutie distracting, and if you plan on doing a lot of recording, the olympus sema-1 external mic adapter is highly recommended, as it should isolate the mic from the lens motor and solve this problem - this will be my next purchase**.2) the video sizes in the motion-jpeg/avi format are huuge.",SS,N,
766,571,456,compression,olympus pen e-pl1,"amazing jpegs--forget raw (embarrassed to admit it), the jpegs on this are so beautiful--no need to post process.",SS,P,
767,572,457,compression,olympus pen e-pl1,the high res jpeg is excellent.,SS,P,
768,573,458,compression,olympus pen e-pl1,the jpegs from this camera are excellent but i shoot raw + jpeg  large sf on the stills i use this for because i want to become knowledgeable at processing jpegs and tiff files.,SS,P,
769,574,459,compression,olympus pen e-pl2,"i bought an epl-2 for my trip to nepal this summer.pros:small and lightweightdetachable lensesok pictures (jpeg, haven't tried raw)constoo many menus/ hard to navigateno viewfinderlenses are expensive",SS,N,
770,575,460,compression,olympus pen e-pl2,i find this puzzling and i think this has to do with some processing of the jpegs in the automode absent in the manual mode.,SS,N,
771,576,461,compression,olympus pen e-pl2,"jpeg iq is great, but high iso is mediocre, sensor is old vs. rival mirrorless cameras, auto focus is fast enough but lack focus assist in low light, which is near useless with moving objects or people in low light.",SS,N,
772,577,462,compression,olympus pen e-pl2,"some reviews complain about no dedicated wb button, but this not a problem if you learn the camera.the jpeg results have very pleasing colors that seem warm and natural.",SS,P,
773,578,463,compression,olympus pen e-pl2,"jpeg engine is superb, as in other olympuses.",SS,P,
774,579,464,compression,olympus pen e-pl2,"really, really good image quality in both jpeg and raw, especially in ample lighting.",SS,P,
775,580,465,compression,olympus pen e-pl2,the files right out of the camera (as jpegs) are very nice.,SS,P,
776,581,466,compression,olympus pen e-pl2,"the jpegs do not accurately represent colors in many conditions, especially moderate to low light.",SS,P,
777,582,467,compression,olympus pen e-pl2,"i am quite surprised at how good the images are that i'm getting, especially jpegs.",SS,P,
778,583,468,compression,olympus pen e-pl2,"surprisingly, this camera does a great job with jpegs in good light situations.",SS,P,
779,584,469,compression,olympus pen e-pl2,colors are awesome and oly jpeg processing is amazing.,SS,P,
780,585,470,compression,olympus pen e-pl2 ,")the camera makes nice jpegs, but unless you're a computerphobe you should save raw images so you can tweak them in the included viewer 2 program.",SS,P,
781,586,471,compression,olympus pen e-pm1 ,"so far my basic settings: noise filter off, ""keep wb warm"" off, sharpening -1, natural picture mode, right button - iso, down button - wb, lsf jpeg, rec button set as af/mf switch, lcd set to max brightness.",SS,P,
782,587,472,compression,olympus pen e-pm1 ,"e-pm1's jpegs are superb, very colorful and especially fantastic skin tones even under mixed indoor lightning!",SS,P,
783,588,473,compression,olympus stylus 1 ,"jpegs are very good up to iso 800, and raw yields excellent photos up to 1600.",SS,P,
784,589,474,compression,olympus sz-,"excellent camera, very sharp and clear photos, you can lower the level of compression of the photos to increase quality.",SS,P,
785,590,475,compression,olympus tough tg-620,"$$ave by buying an 8 mb class 6 hc card (holds almost 2000 12mb jpegs).according to some reputable sources, the main difference between the tg-620 and tg-630 is the 630's upgrade from truepic v to vi processor, which speeds up some of the camera's operational speeds.",SS,P,
786,591,476,compression,olympus tough tg-830 ,it is consistent so i think it may be the compression.,SS,P,
787,592,477,compression,olympus xz-1 ,we had hard time editing the raw to match the colors to the jpeg.,SS,N,
788,593,478,compression,olympus xz-1 ,"not uncommon, but now i find i'm almost always shooting in jpeg plus raw just to have the option to do away with so much unneeded noise reduction which will cause smudging/smearing as iso rises above 200iso..some even at iso100.",SS,N,
789,594,479,compression,olympus xz-1 ,"having said that, i should acknowledge that i'm generally unhappy with jpegs from small sensor cameras.",SS,N,
790,595,480,compression,olympus xz-1 ,"although i am pretty disappointed in olympus for not having any noise adjustments in camera, thus resulting in pretty bad jpegs.",SS,N,
791,596,481,compression,olympus xz-1 ,"how bad could it be?unfortunately, if you plan on shooting jpegs, it can be pretty bad.",SS,N,
792,597,482,compression,olympus xz-1 ,"the olympus jpegs are as usual, brilliant, and can be used straight out of the box, but there is a raw mode as well.",SS,P,
793,598,483,compression,olympus xz-1 ,"i love this lens!the olympus turns on quickly, focuses fast (even in low light), and lets you take another picture very quickly, even when shooting raw and jpeg.",SS,P,
794,599,484,compression,olympus xz-1 ,"raws are easy to work with, and the jpegs are near-perfect in wb and snappy gorgeous color reproduction (something olympus excels at, are you taking note panasonic?)",SS,P,
795,600,485,compression,olympus xz-1 ,"the jpeg processing on the lx5 wasn't great, either.",SS,P,
796,601,486,compression,olympus xz-1 ,"while the noise reduction applied to the jpegs definitely reduces fine details, they still look spectacular.",SS,P,
797,602,487,compression,olympus xz-1 ,"for the web sharing, blogs, the jpegs are decent enough.",SS,P,
798,603,488,compression,olympus xz-1 ,"the xz-1 can shoot in raw (large, ""unprocessed"" image data files) and/or jpeg, and camera buffs dig this flexibility in post-processing.that concludes my in-a-nutshell summary, folks.",SS,P,
799,604,489,compression,olympus xz-1 ,"there is a lot of potential here, it's just a shame olympus used such a terrible jpeg engine on this camera that masks much of it.built quality is solid with the front lens ring feeling smooth and precise.",SS,P,
800,605,490,compression,olympus xz-1 ,"reason being that the jpeg rendering from olympus's processor delivers crisp pictures with good contrast and ""punch"".",SS,P,
801,606,491,compression,olympus xz-1 ,"i can't carry it in my jeans, but cargo shorts or pants and maybe khaki pants might be large enough to accommodate the xz-1.the pictures in jpeg are excellent, and raw delivers as well, but high iso does delivers very noisy pics.",SS,P,
802,607,492,compression,olympus xz-2,the photo quality is outstanding in jpeg and have not seen the raw yet.,SS,P,
803,608,493,compression,olympus xz-2,"typical olympus jpeg's....which is to say excellent with nice, eye-pleasing colors (similar to fuji's).",SS,P,
804,609,494,compression,panasonic dmc-fh25k ,"i bought this lumix based on the specs of 16 mega-pixels but i found the lcd display just so-so.. with so much info going in, it's really unnecessary to even go to 16mp on such a small lens... plus my fault was not researching the video format which this has a jpeg movie format...who wants that?",SS,N,
805,610,495,compression,panasonic dmc-fz150k ,"from the burst mode to video mode in stereo in avchd / mp4 quicktime motion jpeg to creative video mode to the ia - intelligent auto mode with it's auto scene selection  to the usual program modes, p,a, s, and m to the advanced scene modes.",SS,P,
806,611,496,compression,panasonic dmc-fz150k ,"it took me nearly an hour to determine which setting meant ""fine"" vs. ""normal"" jpeg photo quality.",SS,P,
807,612,497,compression,panasonic dmc-fz150k ,(the answer is that the arrow with the 2 rows of bars was the fine jpeg setting).,SS,P,
808,613,498,compression,panasonic dmc-g5kk,i learned quickly how to use the custom white balance setting and my out of camera jpeg files have consistently accurate color rendition.,SS,P,
809,614,499,compression,panasonic dmc-g5kk,the improvement in jpeg images straight out of the camera is considerable.,SS,P,
810,615,500,compression,panasonic dmc-gf5kk ,the quick menu paired with the touch screen make camera adjustments fast and fluid.+ raw images: the exposures of the raw images from the gf5 looks right on and identical to the exposure of jpegs when portrait photo style is selected.,SS,P,
811,616,501,compression,panasonic dmc-gf6kk ,jpeg images are usable up to 3200 iso.,SS,P,
812,617,502,compression,panasonic dmc-zs40k,ability to shoot raw is a big plus and i have no complaints about the jpeg quality straight out of the camera.,SS,N,
813,618,503,compression,panasonic dmc-zs9 ,"i had high hopes for this camera, but it didn't quite deliver; my primary disappointment is the quality of the jpeg files.",SS,N,
814,619,504,compression,panasonic dmc-zs9 ,"i you don't scrutinize such details, you might not notice this; i tried not to be overly concerned with the quality of jpegs from a point and shoot, but i couldn't help it.",SS,N,
815,620,505,compression,panasonic lumix dmc fh-8 ,but i have found that is a small price to pay for the convenience of portability as the jpegs produced by this little jewel are of very satisfying quality.,SS,P,
816,621,506,compression,panasonic lumix dmc-3d1 ,"it's a robust piece of software and did wonders for me to split the jpeg images inside an mpo file, resize (automatically adjusts dimensions to keep the aspect ratio--important; otherwise your image will stretch in a weird way), rotate, and merge them back into a new mpo file.there is concern about other people not enjoying the 3d experience with glasses.",SS,P,
817,622,507,compression,panasonic lumix dmc-fz200 ,the worms and compression trash was gone.,SS,N,
818,623,508,compression,panasonic lumix dmc-fz200 ,"however, the in-camera jpeg engine is worthless.",SS,N,
819,624,509,compression,panasonic lumix dmc-fz200 ,it is very noisy with jpeg.,SS,N,
820,625,510,compression,panasonic lumix dmc-fz200 ,"with this limitation, any forced jpeg modes (i.e.",SS,N,
821,626,511,compression,panasonic lumix dmc-fz200 ,the in-camera jpeg is hopelessly aggressive and full of artifice.,SS,N,
822,627,512,compression,panasonic lumix dmc-fz200 ,"the ai is poor (it tends to wash out), and coupled with forced jpeg mode with ai or ai+, this mode is useless to me.",SS,N,
823,628,513,compression,panasonic lumix dmc-fz200 ,"yes, canon sx50 is 1200, but the lens is slow, camera is slow.update june 2013:well, now i am using izoom with the camera set to use jpeg and raw.",SS,N,
824,629,514,compression,panasonic lumix dmc-fz200 ,"this camera does horrible in low light, does horrible in a lot of light (nasty highlight clipping), and jpegs aren't worth keeping.",SS,N,
825,630,515,compression,panasonic lumix dmc-fz200 ,why?very poor compression.,SS,N,
826,631,516,compression,panasonic lumix dmc-fz200 ,"i haven't figured out how to use the panasonic raw software yet, so we ended up comparing canon raw with fz high quality jpegs.when viewed ""right out of the camera"" on my 27"" color calibrated imac, the images look virtually identical.",SS,P,
827,632,517,compression,panasonic lumix dmc-fz200 ,i love being able to shoot both jpeg and raw at the same time.,SS,P,
828,633,518,compression,panasonic lumix dmc-fz200 ,i haven't been able to process the raw files yet -- a lightroom update is on the way soon -- but the jpegs look pretty nice ooc.,SS,P,
829,634,519,compression,panasonic lumix dmc-fz200 ,the fine quality jpegs will suffice for those who want high quality photos right out of the box.,SS,P,
830,635,520,compression,panasonic lumix dmc-fz200 ,the zoom is amazing - and f2.8 throughout is ideal - but i agree with other reviewers that the jpeg images are odd/poor.,SS,P,
831,636,521,compression,panasonic lumix dmc-fz35 ,the camera can also take photos in the standard jpeg format.one really nice feature is that the end of the camera lens assembly is threaded and accepts attachments.,SS,P,
832,637,522,compression,panasonic lumix dmc-fz47k,"* the automatic settings have a lot of problems for me** images have a weird ratio** typically over exposes -- and with jpeg that's a bad, bad thing.don't go thinking it's a pro-quality camera, it's not.",SS,N,
833,638,523,compression,panasonic lumix dmc-fz60 ,"at this level there are compression artifacts, but it is difficult to explain just how far away these images were.",SS,N,
834,639,524,compression,panasonic lumix dmc-fz60 ,"nonetheless, the hi-res jpeg images are great, so long as you don't keep editing and repeatedly saving the edited files.",SS,P,
835,640,525,compression,panasonic lumix dmc-fz70 ,i also have no trouble taking my shots to 13x19 inch prints from either raw or jpeg format files.,SS,N,
836,641,526,compression,panasonic lumix dmc-fz70 ,i don't know if its a sensor problem or a compression issue as i was using jpg.,SS,N,
837,642,527,compression,panasonic lumix dmc-fz70 ,"also, the fz70 raw image that was reverted back to a jpeg, wasn't as good as either the canon or the original fz70 jpeg.",SS,P,
838,643,528,compression,panasonic lumix dmc-fz70 ,i did not find a difference even worth mentioning in raw and jpeg modes.,SS,P,
839,644,529,compression,panasonic lumix dmc-fz70 ,"the jpeg engine is really great, but the raw files are something special.",SS,P,
840,645,530,compression,panasonic lumix dmc-fz70 ,"i ended up converting the images into dng files to upload them into lightroom and converted them again into jpegs, which defeats the purpose of shooting raw.",SS,P,
841,646,531,compression,panasonic lumix dmc-g1 ,jpeg images are also quite nice.,SS,P,
842,647,532,compression,panasonic lumix dmc-g10,"about stills, the jpegs are quite good but not the pumped up (highly saturated) colors that, for example, canon is known for.",SS,P,
843,648,533,compression,panasonic lumix dmc-g3,"the jpegs are good, and can be made excellent with photoshop elements.",SS,P,
844,649,534,compression,panasonic lumix dmc-gf2 ,"with this lens if you took a picture of a rectangular grid and looked at the unprocessed raw file you'd see the grid lines bend in an arc, but you'll never see that lens distortion because the processed raw files, in camera jpegs, and view screen automatically adjust and bring the distortion back to imperceptible.",SS,N,
845,650,535,compression,panasonic lumix dmc-gf2 ,"the quality of the build is excellent, the jpeg's produced are very good, and the handling, in my opinion, is excellent (but i'm not a professional photographer).",SS,P,
846,651,536,compression,panasonic lumix dmc-gf3ct,"if you shoot jpeg and turn on the camera's shading compensation vignetting is not much of an issue, and you'll might notice it in 1% of your photos.",SS,N,
847,652,537,compression,panasonic lumix dmc-gf3ct,the reason for just four stars is though the gf3 is pretty good up to 800iso ..you still see a bit too much noise and yellow splotches on jpegs indoors unless the light is rather bright or you use 400 iso and under.,SS,P,
848,653,538,compression,panasonic lumix dmc-gf3kk ,i've seen these micro four thirds in action and i liked the idea of being able to shoot raw instead of jpeg.,SS,P,
849,654,539,compression,panasonic lumix dmc-gh2,has clean hdmi out too so you can get pure data capture without compression.,SS,P,
850,655,540,compression,panasonic lumix dmc-gh3k,"at 100% the gh3 has some mosquito jpeg artifacts evident as random pinpoints of noise vs. the gh2 which has dark blotches and smeared details.after upgrading acr to handle the new raw files, i took another look at the same set of photos in raw.",SS,N,
851,656,541,compression,panasonic lumix dmc-gh3k,the raw files reveal the fact that the jpeg engine in the gh3 is doing a heavy amount of noise reduction.,SS,N,
852,657,542,compression,panasonic lumix dmc-gh3k,first impression of the jpegs out of the camera is very good.,SS,P,
853,658,543,compression,panasonic lumix dmc-gh3k,"but the conclusion is that the jpeg engine has already been optimized to make the images look as good as possible, and raw processing is not gaining a whole lot, except for the ability to fine tune and fix any white balance errors.the still photos are pretty significantly improved over the gh2, and those already heavily invested in micro 4/3 lenses will be glad to know that the investment will be put to good use on this body.",SS,P,
854,659,544,compression,panasonic lumix dmc-gh3k,"jpegs aren't over-processed; they're a little soft when shooting long distance, but that can easily be remedied in pp.",SS,P,
855,660,545,compression,panasonic lumix dmc-gh3k,the avchd despite the compression artifacts still looked pretty good compared to other cameras i have shot with.,SS,P,
856,661,546,compression,panasonic lumix dmc-gh4kbody,"will be testing this baby over next couple of days, but i am waiting for an upgraded sd card for some compressed 4k shooting.",SS,P,
857,662,547,compression,panasonic lumix dmc-gm1ks ,"appetizing food, bright blue sky, clear nightscape)-wifi connectivity for easy transfer of pictures direct to smart phone or tablet-shoots in jpeg and raw simultaneouslycons:-minimum iso of 200-no hot shoe-practically too small to hold with one hand (thumb keeps hitting touchscreen display)",SS,P,
858,663,548,compression,panasonic lumix dmc-gm1ks ,"the gm1 does lack in body image stabilization, which is a loss felt mostly in video.i also think the jpegs look good out of the box with this camera!",SS,N,
859,664,549,compression,panasonic lumix dmc-gm1ks ,"panasonic has been maligned for default jpeg settings which lack ""pop"" or have weird auto white balance, but i really think you can shoot jpeg with the defaults and get good results with this guy.oh, and the thing even has a lil bitty flash.",SS,N,
860,665,550,compression,panasonic lumix dmc-gm1ks ,usually the jpeg is fine but i have a raw file to adjust if needed.3) sensitivity.,SS,P,
861,666,551,compression,panasonic lumix dmc-gx1k ,i want to address a peculiar review on stevehuffs blog where he puts these cameras head to head in natural mode with no adjustment to compare jpgs (as olympus is noted for their jpeg processor).,SS,N,
862,667,552,compression,panasonic lumix dmc-gx1k ,"the jpeg defaults (in my opinion) renders the image a little too dark, muted and flat...especially if there is shadows.",SS,N,
863,668,553,compression,panasonic lumix dmc-gx1k ,"the olympus has a 10 megapixels sensor that is about 1/4 of the size of the gx1 sensor (16 megapixels).the good:-very good to excellent raw images-good to very good jpeg output from the camera-autofocus was fast and reliable in full daylight-relatively easy to use buttons for access to major functions (iso, wb, focus, etc)-burst shooting great for action (parasailing)-video was high quality and easy to use with instant access buttonthe bad:-autofocus was not relaiable or at times not functional under low light (early morning)-lcd virtually useless in bright daylight.",SS,P,
864,669,554,compression,panasonic lumix dmc-lf1,"she is shooting at iso 80, aperture priority, and processing the raw images (jpeg fine is lousy) with silkypix or photodirector, converting to tiff, and doing further editing with photostudio 6.",SS,N,
865,670,555,compression,panasonic lumix dmc-lf1,"the out-of-camera jpegs show a heavy-handed approach to noise reduction, too.the wifi simply wasn't working for me.",SS,N,
866,671,556,compression,panasonic lumix dmc-lf1,"so if you want to use your tablet or smartphone to preview your images, you'll have to shoot either completely in jpeg or in jpeg+raw (which wastes memory card space).overall, i'm quite happy with the lf1.",SS,P,
867,672,557,compression,panasonic lumix dmc-lf1,"this camera, even shooting jpeg, is very good for that--the shaded areas preserve detail very well.",SS,P,
868,673,558,compression,panasonic lumix dmc-lx5 ,"the great news is that the six rejections were not due to lack of sharpness, or oversharpening (keep in mind i submitted, as a test, the jpeg out of the camera), or any noise issues, they just did not care for my subject matter!how amazing is that?",SS,N,
869,674,559,compression,panasonic lumix dmc-lx5 ,some people said the imaging was poor with jpegs 2.,SS,N,
870,675,560,compression,panasonic lumix dmc-lx5 ,i shoot in motion jpeg as avchd won't load up in iphoto.- no motor noise.,SS,N,
871,676,561,compression,panasonic lumix dmc-lx5 ,it shoots in raw and with large cheap sd memory cards there no reason to shoot jpeg + raw.,SS,N,
872,677,562,compression,panasonic lumix dmc-lx5 ,"what i love about the lx5: fast auto focus, great build quality, great feature set, good low light performance, good jpeg files, good indoor shots with flash, relatively easy to use, ability to shoot raw, ability to add external flash and studio flash triggers (yet to test this), great aspect ratios via manual switch on lens, good movie mode, fast f2 lens aperture, quality wide 24mm leica lens, comes in pro black color.",SS,P,
873,678,563,compression,panasonic lumix dmc-lx5 ,only jpeg is available there...3.,SS,P,
874,679,564,compression,panasonic lumix dmc-lx5 ,"alternatively, you can also set the camera to shoot in motion jpeg format (quicktime compatible), which is immediately useable by youtube.sd cardi chose to use a 16gb pny class 10 sdhc sd card.",SS,P,
875,680,565,compression,panasonic lumix dmc-lx5 ,"i am not comparing to a dslr... even an old canon sx100 is sharper (apples to apples, the canon has no raw mode so i don't know what goes into the jpeg processing there).so...overall this is good point and shoot camera with full manual control, a wide lens (perhaps to wide!)",SS,P,
876,681,566,compression,panasonic lumix dmc-lx5 ,when i hand this over to my kids i put it into instant automatic mode and it shoots jpegs that come out looking good every time.,SS,P,
877,682,567,compression,panasonic lumix dmc-lx5 ,takes great photos in jpeg and/or raw plus the macro is out of this world....1cm!,SS,P,
878,683,568,compression,panasonic lumix dmc-lx7w,"i will be placing images on my website (google my name) as time goes on, and my images there are average to worst case jpeg's processed in paint shop pro v6 (ca.1999) rather than highly tuned raw images processed in lightroom or photoshop.",SS,N,
879,684,569,compression,panasonic lumix dmc-lx7w,the lx5 jpegs were really messy.,SS,N,
880,685,570,compression,panasonic lumix dmc-lx7w,i have to admit i've been spoiled by canon's jpeg colors.,SS,N,
881,686,571,compression,panasonic lumix dmc-lx7w,"i really love what fujifilm is doing with their stylish, retro designs and innovative controls built around very capable compacts that supposedly product stunning jpegs but lousy raw images (due to their maverick sensor designs).",SS,P,
882,687,572,compression,panasonic lumix dmc-lx7w,"there are other websites that have or will have the optimized images, so mine will provide a good comparison as to what can be done with jpeg's and minimal (rotate, crop, lighten/darken) post-processing (pp).",SS,P,
883,688,573,compression,panasonic lumix dmc-lx7w,"it shoots jpeg and raw pictures and will shoot 1080p movies, awesome.",SS,P,
884,689,574,compression,panasonic lumix dmc-lx7w,the jpeg files are an improvement over the lx5 and the raw files are simply stunning and compare quite nicely (at low isos) to aps-c cameras.,SS,P,
885,690,575,compression,panasonic lumix dmc-lx7w,"shoots raw plus jpeg, so you can later decide if you want to keep just the jpegs, or archive the raw files to keep as an record or to edit your architectural work.",SS,P,
886,691,576,compression,panasonic lumix dmc-lx7w,"just in case anyone has the same experience as i did, note that the retouch functions are not available when the image quality is set to raw or raw+jpeg.",SS,P,
887,692,577,compression,panasonic lumix dmc-lx7w,"for what it's worth, i did find a workaround -- shoot in raw+jpeg, copy the images from the sd card to a computer, delete the raw images (but not the jpegs), put the card back in the camera, and the retouch options then become available.to sum up, amazing camera -- poor manual.",SS,P,
888,693,578,compression,panasonic lumix dmc-lx7w,"i took some head-to-head shots of stuff around my desk with the 110 hs, took both raw and jpeg files with the lumix, kept the aperture at 2.8 to make a fair comparison (canon is a f/2.7 maximum aperture).",SS,P,
889,694,579,compression,panasonic lumix dmc-lx7w,"actually, surprisingly good.i got better fine detail resolution from the sony rx-100, but the sony was fiddlely to use and the sony jpeg colors were simply too cool &#8212; something i was never able to properly correct in post processing.",SS,P,
890,695,580,compression,panasonic lumix dmc-lx7w,"shot at iso 80-200, the resulting jpegs are grainless up to 8x10 magnification, and will make a fine 16x20 uncropped.",SS,P,
891,696,581,compression,panasonic lumix dmc-zs25 ,the main problem that this system has is that it compresses jpegs to 180 dpi.,SS,N,
892,697,582,compression,panasonic lumix dmc-zs25 ,just make sure you switch the recoding mode to mp4 - the default setting is on avchd the compression mode that no computer can read!the videos i took were great - not too noisy even though it was real dark.i am very pleased and feel this is a great little camera that is compact but gives you lots of shooting options.,SS,P,
893,698,583,compression,panasonic lumix dmc-zs25 ,i was just about to send it back to panasonic (at my expense because cleaning of the camera is not covered under the factory warranty) when i discovered a youtube video that explained how to open the camera and clean the ccd sensor with compressed air.,SS,P,
894,699,584,compression,panasonic lumix dmc-zs6,"the forum suggestions to blow compressed air inside the slot, clean the points with alcohol, try a new card and turn it on/off did not work for myself or the others.i want a camera that i can rely on to capture photos and it's not this model!",SS,P,
895,700,585,compression,panasonic lumix dmc-zs7 ,"and indeed, the size of the compressed 12m-pixel files seems too small to allow good quality.",SS,P,
896,701,586,compression,panasonic lumix dmc-zs7 ,"gps, stereo sound recording, and the ability to record movies with some modern flavor of data compression, specifically avchd.",SS,P,
897,702,587,compression,panasonic lumix dmc-zs7 ,"if you do, then i have a bridge to sell you.lastly, the modern video compression and the avchd recording format actually were and are things that i really cared/care about and want/wanted.",SS,P,
898,703,588,compression,panasonic lumix dmc-zs7 ,this is definitely your fault for not writing the jpeg file in way so that it will have proper (gravity based?),SS,P,
899,704,589,compression,panasonic lumix dmc-zs7 ,"i know they know which way is up, because in default factory settings on both, when i play back any jpeg that was shot ""portrait"" (vertical) it shows on the lcd in ``proper'' orientation, i.e.",SS,P,
900,705,590,compression,panasonic lumix dmc-zs8 ,"as soon as the sensor is contaminated, auto focus stops working, requiring a disassembly and a compressed air cleaning of the ccd.",SS,N,
901,706,591,compression,panasonic lumix gx7 ,"in the evf the image looked great, however, the jpegs were way too orange.",SS,P,
902,707,592,compression,panasonic lumix gx7 ,"also, the em5 6400 jpegs are sharp and clean.",SS,P,
903,708,593,compression,panasonic lumix gx7 ,"video quality is outstanding on the gx7, while the compression codecs and quality on the e-m5 were basically not useful for anything fast-moving, way too many ugly artifacts.- silent shutter.",SS,P,
904,709,594,compression,panasonic lumix gx7 ,"in the evf the image looked great, however, the jpegs were way too orange.",SS,P,
905,710,595,compression,panasonic lumix gx7 ,"also, the em5 6400 jpegs are sharp and clean.",SS,P,
906,711,596,compression,panasonic lumix zs15 ,"not quite a dslr, but very close to those results in a strictly jpeg imaging motif pocketable camera.",SS,N,
907,712,597,compression,panasonic lumix zs20 ,two levels of jpeg is also an excellent feature.,SS,P,
908,713,598,compression,pentax 15274 ,"copy a zip file from the pentax website to your computer, extract the file, copy the upgrade file to a formatted memory card, select upgrade from the camera's menu, and in five seconds your new code is loaded.4) the internal jpeg processor is excellent.",SS,P,
909,714,599,compression,pentax k-01,"shooting jpegs, the multiple exposure settings are blazingly fast.",SS,P,
910,715,600,compression,pentax k-01,the image quality is exceptional upto 1600 with jpeg.,SS,P,
911,716,601,compression,pentax k-01,jpeg iq straight from the camera is excellent.,SS,P,
912,717,602,compression,pentax k-30,"the shiny red finish seems a little ""plasticy"" compared to the standard black.but when taking multiple large file, raw + jpeg photos (my normal setup) the buffering seems quite adequate and the camera keeps up.",SS,P,
913,718,603,compression,pentax k-30,you see exactly what the video sensor saw without loss caused by processing images into jpeg \ jpg format images.,SS,N,
914,719,604,compression,pentax k-5,"pictures are very sharp and clear, and jpeg outputs made me wonder very much about what kind aa filter this thing has.",SS,P,
915,720,605,compression,pentax k-5,"the jpegs from the k5 look very good and many will not find the need to use raw, but the dng files are very good indeed and worth the extra effort for the micro-details.",SS,P,
916,721,606,compression,pentax k-5,i'd rather remove annoying moire from time to time and record all the details rather than blur out detail just so i don't have to worry as much about moire.i was also completely taken by surprise when i noticed that the jpegs coming straight out of the k-5 iis (i shoot in raw+jpeg) have roughly as much detail as the processed raw image files coming from the canon 5d mkiii and the nikon d600 that i've used.,SS,N,
917,722,607,compression,pentax k-5,battery life is outstanding; over 900 shots raw + jpeg.,SS,P,
918,723,608,compression,pentax k-50 ,but it is very sharp throughout the range when it has plenty of light.now for the bad: the out-of-camera jpegs suck.,SS,N,
919,724,609,compression,pentax k-50 ,pentax has never had great jpeg processing.,SS,P,
920,725,610,compression,pentax k-x  ,"huge files motion jpeg format, easy editing.",SS,P,
921,726,611,compression,pentax mx-1,"with my luck, the whole lens will fall out and invalidate any warranty.considering the needs which i have for a camera, i set the camera to save to 9mb jpeg rather than raw.",SS,N,
922,727,612,compression,pentax mx-1,the mx-1's raw files are so pliable that i very rarely feel the need to use the hdr mode.i am disappointed by the jpeg processing that this camera does.,SS,N,
923,728,613,compression,pentax mx-1,"something is screwed up with this.pretty slow write times, even when shooting in jpegyou're stuck with this flash, there's no way to attach a hot shoe.",SS,N,
924,729,614,compression,pentax mx-1,the shot to shot times are decent for jpeg and raw.,SS,P,
925,730,615,compression,pentax mx-1,the raw to jpeg engine is really good!,SS,P,
926,731,616,compression,pentax mx-1,"the photos produced by the mx are organic, forgiving and the jpegs are formidable.",SS,P,
927,732,617,compression,pentax mx-1,"the color profile from out of camera jpegs was great, and in general the image quality and menu system of this camera are fantastic.",SS,P,
928,733,618,compression,pentax q ,"you can also do post processing work on the camera itself, so, if you are not a big fan of editing your pictures through a software program on your computer this could be a very useful tool.there is also a function button on the front that could be used for 4 different actions (dof preview button, raw or jpeg file button, mf, or ae lock)in short, the camera has plenty of features and customizations.shooting with the pentaq q to me is very similar to a high end point and shoot.",SS,P,
929,734,619,compression,pentax q ,"you can record both jpeg and raw and then process a few of your favorites to make them look even better.secondly, the build quality of the camera is very good.",SS,P,
930,735,620,compression,ricoh gr ,"i mean, plastic / artificial jpeg images for the masses (no offense to anyone out there who likes the hx5v).3.",SS,P,
